General,General,Process,Completed all Tasks. No More Data Left to Process,02/11/2021 01:07:54
General,General,Process,All Report Generation Completed,02/11/2021 01:08:00
General,General,General,RTA Process Completed,02/11/2021 01:08:00
General,General,Process,Transactions Input,02/11/2021 01:20:18
General,General,Process,RTA Process Initiated,02/11/2021 01:20:19
TC_1,Transaction,Process,Transaction Starts,02/11/2021 01:20:19
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/11/2021 01:22:35
TC_2,Transaction,Process,Transaction Starts,02/11/2021 01:22:36
TC_2,Transaction,Success,Transaction with TC_2 Successfull,02/11/2021 01:23:45
General,General,Process,Completed all Tasks. No More Data Left to Process,02/11/2021 01:23:45
General,General,Process,All Report Generation Completed,02/11/2021 01:23:51
General,General,General,RTA Process Completed,02/11/2021 01:23:52
General,General,Process,Transactions Input,02/11/2021 01:24:42
General,General,Process,RTA Process Initiated,02/11/2021 01:24:43
TC_1,Transaction,Process,Transaction Starts,02/11/2021 01:24:43
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/11/2021 01:27:12
TC_2,Transaction,Process,Transaction Starts,02/11/2021 01:27:12
TC_2,Transaction,Success,Transaction with TC_2 Successfull,02/11/2021 01:31:03
General,General,Process,Completed all Tasks. No More Data Left to Process,02/11/2021 01:31:03
General,General,Process,All Report Generation Completed,02/11/2021 01:31:08
General,General,General,RTA Process Completed,02/11/2021 01:31:09
General,General,Process,Transactions Input,02/11/2021 01:37:56
General,General,Process,RTA Process Initiated,02/11/2021 01:37:56
TC_2,Transaction,Process,Transaction Starts,02/11/2021 01:37:56
General,General,Process,Transactions Input,02/11/2021 01:39:47
General,General,Process,RTA Process Initiated,02/11/2021 01:39:48
TC_2,Transaction,Process,Transaction Starts,02/11/2021 01:39:49
General,General,Process,Transactions Input,02/11/2021 01:45:59
General,General,Process,RTA Process Initiated,02/11/2021 01:46:00
TC_2,Transaction,Process,Transaction Starts,02/11/2021 01:46:01
TC_2,Transaction,Success,Transaction with TC_2 Successfull,02/11/2021 01:52:34
General,General,Process,Completed all Tasks. No More Data Left to Process,02/11/2021 01:52:34
General,General,Process,All Report Generation Completed,02/11/2021 01:52:40
General,General,General,RTA Process Completed,02/11/2021 01:52:40
General,General,Process,Transactions Input,02/11/2021 23:49:08
General,General,Process,RTA Process Initiated,02/11/2021 23:49:09
TC_1,Transaction,Process,Transaction Starts,02/11/2021 23:49:09
General,General,Process,Transactions Input,02/11/2021 23:51:06
General,General,Process,RTA Process Initiated,02/11/2021 23:51:06
TC_1,Transaction,Process,Transaction Starts,02/11/2021 23:51:06
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/11/2021 23:52:26
TC_2,Transaction,Process,Transaction Starts,02/11/2021 23:52:26
General,General,Process,Transactions Input,02/11/2021 23:54:26
General,General,Process,RTA Process Initiated,02/11/2021 23:54:27
TC_1,Transaction,Process,Transaction Starts,02/11/2021 23:54:27
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/11/2021 23:56:12
TC_2,Transaction,Process,Transaction Starts,02/11/2021 23:56:12
TC_2,Transaction,Success,Transaction with TC_2 Successfull,02/11/2021 23:57:01
General,General,Process,Completed all Tasks. No More Data Left to Process,02/11/2021 23:57:02
General,General,Process,All Report Generation Completed,02/11/2021 23:57:08
General,General,General,RTA Process Completed,02/11/2021 23:57:08
General,General,Process,Transactions Input,02/11/2021 23:57:47
General,General,Process,RTA Process Initiated,02/11/2021 23:57:47
TC_1,Transaction,Process,Transaction Starts,02/11/2021 23:57:47
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/11/2021 23:59:21
TC_2,Transaction,Process,Transaction Starts,02/11/2021 23:59:21
TC_2,Transaction,Success,Transaction with TC_2 Successfull,02/12/2021 00:00:11
General,General,Process,Completed all Tasks. No More Data Left to Process,02/12/2021 00:00:11
General,General,Process,All Report Generation Completed,02/12/2021 00:00:17
General,General,General,RTA Process Completed,02/12/2021 00:00:17
General,General,Process,Transactions Input,02/12/2021 00:07:06
General,General,Process,RTA Process Initiated,02/12/2021 00:07:06
TC_2,Transaction,Process,Transaction Starts,02/12/2021 00:07:06
General,General,Process,Transactions Input,02/12/2021 00:11:22
General,General,Process,RTA Process Initiated,02/12/2021 00:11:23
TC_2,Transaction,Process,Transaction Starts,02/12/2021 00:11:23
TC_2,Transaction,Success,Transaction with TC_2 Successfull,02/12/2021 00:12:23
General,General,Process,Completed all Tasks. No More Data Left to Process,02/12/2021 00:12:23
General,General,Process,All Report Generation Completed,02/12/2021 00:12:28
General,General,General,RTA Process Completed,02/12/2021 00:12:29
General,General,Process,Transactions Input,02/12/2021 14:03:08
General,General,Process,RTA Process Initiated,02/12/2021 14:03:09
TC_2,Transaction,Process,Transaction Starts,02/12/2021 14:03:09
General,General,Process,Transactions Input,02/14/2021 00:11:52
General,General,Process,RTA Process Initiated,02/14/2021 00:11:53
TC_4,Transaction,Process,Transaction Starts,02/14/2021 00:11:53
General,General,Process,Transactions Input,02/14/2021 00:13:03
General,General,Process,RTA Process Initiated,02/14/2021 00:13:04
TC_4,Transaction,Process,Transaction Starts,02/14/2021 00:13:04
General,General,Process,Transactions Input,02/14/2021 00:14:55
General,General,Process,RTA Process Initiated,02/14/2021 00:14:55
TC_4,Transaction,Process,Transaction Starts,02/14/2021 00:14:55
General,General,Process,Transactions Input,02/14/2021 00:16:24
General,General,Process,RTA Process Initiated,02/14/2021 00:16:25
TC_4,Transaction,Process,Transaction Starts,02/14/2021 00:16:25
General,General,Process,Transactions Input,02/14/2021 00:19:01
General,General,Process,RTA Process Initiated,02/14/2021 00:19:01
TC_4,Transaction,Process,Transaction Starts,02/14/2021 00:19:01
General,General,Process,Transactions Input,02/14/2021 00:19:59
General,General,Process,RTA Process Initiated,02/14/2021 00:19:59
TC_4,Transaction,Process,Transaction Starts,02/14/2021 00:19:59
General,General,Process,Transactions Input,02/14/2021 00:23:38
General,General,Process,RTA Process Initiated,02/14/2021 00:23:39
TC_1,Transaction,Process,Transaction Starts,02/14/2021 00:23:39
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/14/2021 00:25:59
General,General,Process,Completed all Tasks. No More Data Left to Process,02/14/2021 00:26:00
